lamina	xist0	xist1	xist2	xist3	xist6
1.0	0.866770307563	0.69600276653	0.389190908151	0.306537962285	0.338555226209
1.0	1.06091111555	0.725954700068	0.405125438933	0.317306638957	0.337340094932
1.0	0.951681065158	0.536719987327	0.325426267405	0.264206992933	0.293774962104
1.0	0.779599389008	0.616081567777	0.374651129091	0.269400839593	0.325374835504
1.0	0.800497237119	0.70794418025	0.35859715893	0.228950523531	0.225584556492
1.0	0.776866888731	0.734420870942	0.376701915647	0.275246404277	0.23503601065
1.0	0.978677559698	0.7736845986	0.398215176744	0.286466458493	0.301432212015
1.0	0.992504906737	0.636080213494	0.431769402323	0.295444305922	0.335598406577
1.0	1.11079966176	0.651850032006	0.412980272952	0.272829450936	0.29702404948
0.0	1.32865224826	0.803828080913	0.49195932035	0.316370592282	0.36004054261
0.0	1.28739267974	0.911823390815	0.381721811108	0.267506713715	0.276961070378
1.0	1.05936860023	0.715739007711	0.40349297491	0.302457002152	0.415688283963
1.0	1.22787250879	0.824330258697	0.407478201821	0.342582955653	0.466960308258
0.0	1.32154118027	0.870229313334	0.455297944835	0.385270388462	0.479188950202
1.0	0.998175189573	0.744798676265	0.388231775743	0.288090308639	0.346246983037
1.0	0.949322391593	0.841944864066	0.388022327123	0.266940746553	0.362614687986
1.0	0.940234070555	0.781968558046	0.405952428842	0.337890238589	0.43533061303
1.0	1.03172405657	0.801144116772	0.404256822409	0.38850673715	0.483251196727
1.0	0.866440509064	0.729196735319	0.452910313876	0.39757025455	0.525662146294
1.0	0.804131357762	0.726583101071	0.429728427165	0.368397000603	0.526015782403
1.0	0.885622567119	0.738994040267	0.412061247172	0.388986981403	0.519573070762
1.0	0.987159936322	0.832487387669	0.455863856482	0.386531566292	0.471530973491
1.0	0.898305998816	0.761394504209	0.463419129445	0.340962232732	0.405297715435
1.0	0.853230495845	0.641011486206	0.374248331567	0.308405758683	0.302144131903
1.0	0.761466090295	0.677627495882	0.440463873019	0.305011420468	0.338773402568
1.0	0.73952194218	0.628746454424	0.346179861967	0.28448813643	0.305832898405
1.0	0.757530034742	0.569589912209	0.352779300796	0.278740105995	0.335831420461
1.0	0.956879595233	0.70794766939	0.335938934677	0.262187194247	0.347355583046
1.0	0.879874402107	0.804291318223	0.404034516966	0.293808330019	0.392704895133
1.0	0.827935371356	0.61221713921	0.41357376159	0.331769734558	0.446847702321
0.0	0.95858795172	0.589966249761	0.444247984592	0.325023445554	0.390973399369
0.0	1.18103697495	0.826953089306	0.518758422684	0.322110428743	0.315855915511
0.0	1.05902983194	0.854453792429	0.62746319352	0.495309481353	0.526961616371
0.0	1.28889100683	0.842962757941	0.506788190935	0.269140736779	0.233798737322
0.0	1.05466861148	0.729145518829	0.531817502604	0.326262762983	0.367228730941
0.0	0.865607243284	0.837620291147	0.62637847219	0.495186994778	0.57803444209
0.0	1.05113108999	0.776914687099	0.504457592271	0.324520868044	0.358042550046
0.0	0.865144173842	0.698074661716	0.613467152225	0.525567362308	0.63321889634
1.0	0.800945690363	0.799519102304	0.57232887055	0.536074421643	0.693352985569
0.0	0.861457441359	0.809853397653	0.546260143655	0.51265084334	0.604467094713
0.0	0.845982772218	0.749127370911	0.476534082257	0.394927604942	0.533484140209
1.0	0.9122835975	0.821372090718	0.409182364293	0.30685968819	0.334994853415
1.0	0.747924385361	0.70122230108	0.382975799438	0.289865971115	0.341871497195
1.0	0.989623443882	0.76398396084	0.430857966819	0.334396345993	0.407350984255
1.0	0.810498289222	0.804943862329	0.344603703798	0.325508092439	0.365313033028
1.0	0.856105520957	0.707948085099	0.335018040319	0.303915312019	0.348918532886
1.0	0.814540716857	0.786541196433	0.326865020837	0.302143471414	0.386314635399
1.0	0.814996514137	0.634820695288	0.372364806898	0.383391737544	0.462692163915
0.0	0.947693861088	0.694981814062	0.431041547789	0.377281609175	0.55168030422
0.0	0.827377790305	0.684684826046	0.453767047788	0.41532110687	0.561388671902
0.0	0.93805579234	0.627892192287	0.512126480431	0.455479106	0.590588654437
0.0	1.02638300491	0.719548025989	0.599068023638	0.510038747507	0.666611116486
0.0	1.09749183396	0.769278362949	0.578169655555	0.460315808239	0.636199734106
1.0	1.06113534293	0.847976803997	0.569525173211	0.526095982601	0.698950259779
0.0	0.98365126882	0.766085656419	0.587892263313	0.478037562831	0.581680309988
0.0	1.03455952922	0.736411584556	0.515005729314	0.354794138353	0.372187019854
0.0	1.00707672598	0.628576512416	0.444505438622	0.330568604859	0.343860885229
0.0	1.08982884146	0.742148541303	0.532125993625	0.486760246923	0.522538752106
1.0	0.934414545137	0.784798319436	0.667660797921	0.706203962112	0.962363041686
0.0	0.848924559569	0.827959813824	0.728312262738	0.689121131	1.0149640411
0.0	1.13733518943	0.841434426889	0.615601599653	0.576425005184	0.722557344179
0.0	1.10248051523	0.605211685821	0.582270040773	0.521636617818	0.632587465722
1.0	0.906271921898	0.608039075889	0.449403063066	0.347879677344	0.467101109598
1.0	0.688891328968	0.56945644048	0.458257246538	0.384522880571	0.559734416223
1.0	0.712262603312	0.573221093299	0.429195346461	0.373401668894	0.545591108745
1.0	0.606021973911	0.575141157484	0.41318145406	0.347911465786	0.481448349945
1.0	0.685522212617	0.628067992901	0.430277039641	0.429974299257	0.575208909491
1.0	0.775679363677	0.736065921409	0.493412672365	0.517101650706	0.696051205978
0.0	0.818069797508	0.695956925253	0.519677068172	0.495057416253	0.622484707417
